Time_ns,RMSD_Backbone_A,RMSD_Core_HE_A,RMSD_BindingSite_A
9.74,1.4310086,1.2659326,1.1937544
9.76,1.4122285,1.3099076,1.3555716
9.78,1.4351108,1.306587,1.2945793
9.8,1.4681289,1.3314743,1.4640918
9.82,1.4920616,1.3298008,1.2310746
9.84,1.2636453,1.0806507,1.2224243
9.86,1.3484246,1.242101,1.2954762
9.88,1.3906126,1.2863563,1.3008791
9.9,1.3721801,1.230135,1.2796932
9.92,1.3353091,1.1698086,1.1392764
9.94,1.2975638,1.0942526,1.3450419
9.96,1.4086976,1.1496341,1.2274636
9.98,1.3559291,1.0953324,1.4146099
10.0,1.3347201,1.1145415,1.2517743
10.02,1.344921,1.1265152,1.4037014
10.04,1.34152,1.1129123,1.238482
10.06,1.4281797,1.2403069,1.3890113
10.08,1.4215046,1.2117603,1.2058723
10.1,1.5576997,1.4229836,1.406743
10.12,1.4662658,1.3029206,1.3545095
10.14,1.423058,1.232234,1.2818797
10.16,1.4219524,1.2378439,1.3490516
10.18,1.3562052,1.2037244,1.2136337
10.2,1.352445,1.210807,1.1590054
10.22,1.4951203,1.3687803,1.2747312
10.24,1.4959716,1.3599743,1.3543303
10.26,1.4177856,1.2818387,1.1943425
10.28,1.5060747,1.353246,1.2737379
10.3,1.3849734,1.238843,1.265797
10.32,1.3485355,1.2077377,1.2855198
10.34,1.3919045,1.2055047,1.154959
10.36,1.4662912,1.3142658,1.1905109
10.38,1.4387591,1.2406614,1.2629995
10.4,1.4256082,1.2465641,1.3584402
10.42,1.3659716,1.1724849,1.2971616
10.44,1.2844537,1.117178,1.2928569
10.46,1.3576401,1.2126675,1.362716
10.48,1.3166428,1.237044,1.3820531
10.5,1.2853572,1.1801976,1.2108229
10.52,1.4236892,1.3227735,1.2525706
10.54,1.3758593,1.2355986,1.2024884
10.56,1.3065937,1.1374447,1.4043498
10.58,1.406676,1.2740507,1.2233671
10.6,1.507665,1.3314123,1.3323158
10.62,1.4388113,1.3296353,1.3227547
10.64,1.5351079,1.4132903,1.4269422
10.66,1.5115346,1.3413286,1.3389951
10.68,1.4644003,1.3057873,1.4321638
10.7,1.5048559,1.4304605,1.4385904
10.72,1.4464164,1.3560265,1.2413628
10.74,1.5921977,1.4444609,1.462593
10.76,1.6531191,1.5053784,1.3916802
10.78,1.6835536,1.5696101,1.4622195
10.8,1.6498994,1.4898473,1.562156
10.82,1.5515578,1.3359888,1.4008203
10.84,1.6118083,1.437975,1.5197396
10.86,1.7434952,1.5647507,1.2858639
10.88,1.5646553,1.3659452,1.2695109
10.9,1.513713,1.3285596,1.4166492
10.92,1.5990735,1.3938982,1.2113454
10.94,1.6348748,1.3790858,1.4154124
10.96,1.5994248,1.4185328,1.4321275
10.98,1.6045202,1.4021971,1.575898
11.0,1.40046,1.2573247,1.2227079
11.02,1.5692674,1.4220173,1.4167165
11.04,1.5898913,1.4737798,1.3846228
11.06,1.684732,1.5643464,1.4880035
11.08,1.627322,1.5187426,1.3775669
11.1,1.5727234,1.4519597,1.4091569
11.12,1.6389238,1.5421499,1.486692
11.14,1.5971992,1.4792727,1.5065788
11.16,1.8182638,1.6755946,1.5303363
11.18,1.7271823,1.5896778,1.4365098
11.2,1.6753488,1.548537,1.5121275
11.22,1.5827153,1.4700627,1.4257631
11.24,1.5331553,1.3939378,1.4125061
11.26,1.5953928,1.4129984,1.3798558
11.28,1.4770541,1.3281871,1.4854552
11.3,1.5235512,1.3191311,1.3309355
11.32,1.4286517,1.2393088,1.3790073
11.34,1.4599956,1.2560339,1.3796422
11.36,1.4687408,1.3040174,1.3628433
11.38,1.5449309,1.396401,1.471758
11.4,1.5509301,1.4225006,1.4333801
11.42,1.5406349,1.3906004,1.440584
11.44,1.5496982,1.4226359,1.5178559
11.46,1.6124587,1.4608699,1.6066052
11.48,1.6343938,1.4460969,1.575898
11.5,1.6446257,1.4909911,1.702924
11.52,1.6998225,1.5581832,1.6236001
11.54,1.6324222,1.4893675,1.6819209
11.56,1.7054527,1.5992649,1.7162108
11.58,1.8348894,1.7331977,1.8187768
11.6,1.6451265,1.5618664,1.6933463
11.62,1.6361569,1.4860595,1.7822733
11.64,1.513243,1.3912331,1.574544
11.66,1.5250005,1.3750129,1.6418029
11.68,1.5825734,1.4346826,1.8081157
11.7,1.5238953,1.3772703,1.5406182
11.72,1.4682819,1.3189435,1.5829955
11.74,1.5541137,1.3989582,1.5273308
11.76,1.506547,1.3413696,1.52745
11.78,1.5606775,1.4142042,1.3326735
11.8,1.4570433,1.289665,1.4106882
11.82,1.483984,1.3273174,1.4466555
11.84,1.5802293,1.4416604,1.557693
11.86,1.6050103,1.4716328,1.6181068
11.88,1.6750805,1.5494245,1.6590697
11.9,1.5052043,1.438644,1.6135031
11.92,1.6193409,1.5217085,1.4819083
11.94,1.529267,1.4222107,1.5825683
11.96,1.5474012,1.468491,1.5362508
11.98,1.7896817,1.6644162,1.5931606
12.0,1.5715563,1.460117,1.4912163
12.02,1.6495361,1.5235503,1.6071069
12.04,1.6050103,1.4990826,1.4611875
12.06,1.4233475,1.3007455,1.344468
12.08,1.4856737,1.3454423,1.3335776
12.1,1.5254425,1.4072273,1.321161
12.12,1.4804977,1.3239369,1.4151185
12.14,1.4774595,1.3664483,1.4083261
12.16,1.5108656,1.3963814,1.5064406
12.18,1.4724582,1.3667299,1.5676628
12.2,1.3812374,1.2666924,1.4743124
12.22,1.3552386,1.2363548,1.4279019
12.24,1.4420867,1.3183389,1.4356587
12.26,1.479106,1.3679565,1.4299768
12.28,1.4411774,1.3722107,1.4898318
12.3,1.4483566,1.3325682,1.4680126
12.32,1.3529433,1.229084,1.4170897
12.34,1.4109287,1.2976981,1.4119536
12.36,1.4252665,1.2850306,1.4851867
12.38,1.4244782,1.2975074,1.3600093
12.4,1.419686,1.2807872,1.5011134
12.42,1.4725345,1.3611262,1.4963816
12.44,1.3539393,1.2219275,1.4917336
12.46,1.3064218,1.153764,1.5406014
12.48,1.3116564,1.2000186,1.4315584
12.5,1.321667,1.2528561,1.4030467
12.52,1.4682307,1.3702657,1.3381594
12.54,1.5142572,1.401648,1.3088852
12.56,1.4095746,1.2813025,1.0798215
12.58,1.3407104,1.238732,1.314035
12.6,1.3649021,1.2518023,1.3393705
12.62,1.3886456,1.3085635,1.399873
12.64,1.3419665,1.2409272,1.2932391
12.66,1.3056762,1.2132115,1.204196
12.68,1.3729713,1.280272,1.3025974
12.7,1.3374946,1.2375329,1.3608251
12.72,1.5069695,1.4223266,1.3571951
12.74,1.5149246,1.40625,1.5909061
